start
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/583 with read ROI [10700:15700, 16368:20368, 32368:36368] (5000, 4000, 4000) and write ROI [10700:15700, 16368:20368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1360 with read ROI [10700:15700, 20368:24368, 48368:52368] (5000, 4000, 4000) and write ROI [10700:15700, 20368:24368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/324 with read ROI [10700:15700, 24368:28368, 12368:16368] (5000, 4000, 4000) and write ROI [10700:15700, 24368:28368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/354 with read ROI [10700:15700, 36368:40368, 368:4368] (5000, 4000, 4000) and write ROI [10700:15700, 36368:40368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/896 with read ROI [10700:15700, 40368:44368, 16368:20368] (5000, 4000, 4000) and write ROI [10700:15700, 40368:44368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1049 with read ROI [10700:15700, 40368:44368, 20368:24368] (5000, 4000, 4000) and write ROI [10700:15700, 40368:44368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1410 with read ROI [10700:15700, 40368:44368, 28368:32368] (5000, 4000, 4000) and write ROI [10700:15700, 40368:44368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2707 with read ROI [10700:15700, 48368:52368, 40368:44368] (5000, 4000, 4000) and write ROI [10700:15700, 48368:52368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1452 with read ROI [10700:15700, 52368:56368, 16368:20368] (5000, 4000, 4000) and write ROI [10700:15700, 52368:56368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3047 with read ROI [10700:15700, 52368:56368, 40368:44368] (5000, 4000, 4000) and write ROI [10700:15700, 52368:56368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1124 with read ROI [10700:15700, 60368:63624, 368:4368] (5000, 3256, 4000) and write ROI [10700:15700, 60368:63624, 368:4368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/6139 with read ROI [10700:15700, 60368:63624, 60368:63624] (5000, 3256, 3256) and write ROI [10700:15700, 60368:63624, 60368:63624] (5000, 3256, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/373 with read ROI [15700:20700, 368:4368, 36368:40368] (5000, 4000, 4000) and write ROI [15700:20700, 368:4368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/102 with read ROI [15700:20700, 8368:12368, 8368:12368] (5000, 4000, 4000) and write ROI [15700:20700, 8368:12368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/80 with read ROI [15700:20700, 12368:16368, 368:4368] (5000, 4000, 4000) and write ROI [15700:20700, 12368:16368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/196 with read ROI [15700:20700, 16368:20368, 8368:12368] (5000, 4000, 4000) and write ROI [15700:20700, 16368:20368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/855 with read ROI [15700:20700, 20368:24368, 32368:36368] (5000, 4000, 4000) and write ROI [15700:20700, 20368:24368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/412 with read ROI [15700:20700, 24368:28368, 12368:16368] (5000, 4000, 4000) and write ROI [15700:20700, 24368:28368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1038 with read ROI [15700:20700, 32368:36368, 24368:28368] (5000, 4000, 4000) and write ROI [15700:20700, 32368:36368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3357 with read ROI [15700:20700, 36368:40368, 56368:60368] (5000, 4000, 4000) and write ROI [15700:20700, 36368:40368, 56368:60368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/788 with read ROI [15700:20700, 44368:48368, 4368:8368] (5000, 4000, 4000) and write ROI [15700:20700, 44368:48368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3415 with read ROI [15700:20700, 52368:56368, 40368:44368] (5000, 4000, 4000) and write ROI [15700:20700, 52368:56368, 40368:44368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4651 with read ROI [15700:20700, 56368:60368, 48368:52368] (5000, 4000, 4000) and write ROI [15700:20700, 56368:60368, 48368:52368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/134 with read ROI [20700:25700, 368:4368, 16368:20368] (5000, 4000, 4000) and write ROI [20700:25700, 368:4368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/239 with read ROI [20700:25700, 4368:8368, 20368:24368] (5000, 4000, 4000) and write ROI [20700:25700, 4368:8368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/480 with read ROI [20700:25700, 8368:12368, 28368:32368] (5000, 4000, 4000) and write ROI [20700:25700, 8368:12368, 28368:32368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2056 with read ROI [20700:25700, 12368:16368, 60368:63624] (5000, 4000, 3256) and write ROI [20700:25700, 12368:16368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/609 with read ROI [20700:25700, 20368:24368, 20368:24368] (5000, 4000, 4000) and write ROI [20700:25700, 20368:24368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/619 with read ROI [20700:25700, 24368:28368, 16368:20368] (5000, 4000, 4000) and write ROI [20700:25700, 24368:28368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1610 with read ROI [20700:25700, 28368:32368, 36368:40368] (5000, 4000, 4000) and write ROI [20700:25700, 28368:32368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/655 with read ROI [20700:25700, 36368:40368, 4368:8368] (5000, 4000, 4000) and write ROI [20700:25700, 36368:40368, 4368:8368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1649 with read ROI [20700:25700, 40368:44368, 24368:28368] (5000, 4000, 4000) and write ROI [20700:25700, 40368:44368, 24368:28368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1280 with read ROI [20700:25700, 48368:52368, 8368:12368] (5000, 4000, 4000) and write ROI [20700:25700, 48368:52368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1126 with read ROI [20700:25700, 52368:56368, 368:4368] (5000, 4000, 4000) and write ROI [20700:25700, 52368:56368, 368:4368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3451 with read ROI [20700:25700, 56368:60368, 32368:36368] (5000, 4000, 4000) and write ROI [20700:25700, 56368:60368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2218 with read ROI [20700:25700, 60368:63624, 12368:16368] (5000, 3256, 4000) and write ROI [20700:25700, 60368:63624, 12368:16368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/3119 with read ROI [20700:25700, 60368:63624, 24368:28368] (5000, 3256, 4000) and write ROI [20700:25700, 60368:63624, 24368:28368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/246 with read ROI [25700:30700, 4368:8368, 16368:20368] (5000, 4000, 4000) and write ROI [25700:30700, 4368:8368, 16368:20368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/713 with read ROI [25700:30700, 8368:12368, 32368:36368] (5000, 4000, 4000) and write ROI [25700:30700, 8368:12368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/496 with read ROI [25700:30700, 12368:16368, 20368:24368] (5000, 4000, 4000) and write ROI [25700:30700, 12368:16368, 20368:24368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1019 with read ROI [25700:30700, 16368:20368, 32368:36368] (5000, 4000, 4000) and write ROI [25700:30700, 16368:20368, 32368:36368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2360 with read ROI [25700:30700, 20368:24368, 52368:56368] (5000, 4000, 4000) and write ROI [25700:30700, 20368:24368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1854 with read ROI [25700:30700, 28368:32368, 36368:40368] (5000, 4000, 4000) and write ROI [25700:30700, 28368:32368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/2696 with read ROI [25700:30700, 32368:36368, 44368:48368] (5000, 4000, 4000) and write ROI [25700:30700, 32368:36368, 44368:48368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/4605 with read ROI [25700:30700, 36368:40368, 60368:63624] (5000, 4000, 3256) and write ROI [25700:30700, 36368:40368, 60368:63624] (5000, 4000, 3256)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1281 with read ROI [25700:30700, 44368:48368, 8368:12368] (5000, 4000, 4000) and write ROI [25700:30700, 44368:48368, 8368:12368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1698 with read ROI [25700:30700, 48368:52368, 12368:16368] (5000, 4000, 4000) and write ROI [25700:30700, 48368:52368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1947 with read ROI [25700:30700, 52368:56368, 12368:16368] (5000, 4000, 4000) and write ROI [25700:30700, 52368:56368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/5632 with read ROI [25700:30700, 52368:56368, 52368:56368] (5000, 4000, 4000) and write ROI [25700:30700, 52368:56368, 52368:56368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/1755 with read ROI [25700:30700, 60368:63624, 368:4368] (5000, 3256, 4000) and write ROI [25700:30700, 60368:63624, 368:4368] (5000, 3256, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/192 with read ROI [30700:35700, 368:4368, 12368:16368] (5000, 4000, 4000) and write ROI [30700:35700, 368:4368, 12368:16368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/850 with read ROI [30700:35700, 4368:8368, 36368:40368] (5000, 4000, 4000) and write ROI [30700:35700, 4368:8368, 36368:40368] (5000, 4000, 4000)
upload_edges_apis_2L-6_setup_03_0_2_FBOK_600000_1/271 with read ROI [30700:35700, 12368:16368, 4368:8368] (5000, 4000, 4000) and write ROI [30700:35700, 12368:16368, 4368:8368] (5000, 4000, 4000)
